VERSION,AGEUP,BURUP,ACCT,BUD_FUNCTION,BUD_SUBFCT,ACCOUNT_TITLE,AGENCY_TITLE,BUREAU_TITLE,PA_NARRATIVE,PN_NARRATIVE
PB21PF01,007,15,2033  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-15-2033   Procurement of Weapons and Tracked Combat Vehicles, Army",Department of Defense--Military Programs,Procurement,"Procurement of weapons and tracked combat vehicles, armyFor construction, procurement, production, and modification of weapons and tracked combat vehicles, equipment, including ordnance, spare parts, and accessories therefor; specialized equipment and training devices; expansion of public and private plants, including the land necessary therefor, for the foregoing purposes, and such lands and interests therein, may be acquired, and construction prosecuted thereon prior to approval of title; and procurement and installation of equipment, appliances, and machine tools in public and private plants; reserve plant and Government and contractor-owned equipment layaway; and other expenses necessary for the foregoing purposes, $4,663,597,000$3,696,740,000, to remain available for obligation until September 30, 2022 2023, of which $273,583,000 shall be available for the Army National Guard and Army Reserve.",
PB21PF01,007,15,2034  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-15-2034   Procurement of Ammunition, Army",Department of Defense--Military Programs,Procurement,"Procurement of ammunition, armyFor construction, procurement, production, and modification of ammunition, and accessories therefor; specialized equipment and training devices; expansion of public and private plants, including ammunition facilities, authorized by section 2854 of title 10, United States Code, and the land necessary therefor, for the foregoing purposes, and such lands and interests therein, may be acquired, and construction prosecuted thereon prior to approval of title; and procurement and installation of equipment, appliances, and machine tools in public and private plants; reserve plant and Government and contractor-owned equipment layaway; and other expenses necessary for the foregoing purposes, $2,578,575,000$2,777,716,000, to remain available for obligation until September 30, 2022 2023, of which $174,413,000 shall be available for the Army National Guard and Army Reserve.",
PB21PF01,007,15,2035  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-15-2035   Other Procurement, Army",Department of Defense--Military Programs,Procurement,"Other Procurement, ArmyFor construction, procurement, production, and modification of vehicles, including tactical, support, and non-tracked combat vehicles; the purchase of passenger motor vehicles for replacement only; communications and electronic equipment; other support equipment; spare parts, ordnance, and accessories therefor; specialized equipment and training devices; expansion of public and private plants, including the land necessary therefor, for the foregoing purposes, and such lands and interests therein, may be acquired, and construction prosecuted thereon prior to approval of title; and procurement and installation of equipment, appliances, and machine tools in public and private plants; reserve plant and Government and contractor-owned equipment layaway; and other expenses necessary for the foregoing purposes, $7,581,524,000$8,625,206,000, to remain available for obligation until September 30, 2022 2023, of which $1,250,422,000 shall be available for the Army National Guard and Army Reserve.",
PB21PF01,007,20,2040  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-20-2040   Research, Development, Test and Evaluation, Army",Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Research, development, test and evaluation, armyFor expenses necessary for basic and applied scientific research, development, test and evaluation, including maintenance, rehabilitation, lease, and operation of facilities and equipment, $12,543,435,000$12,587,343,000, to remain available for obligation until September 30, 20212022.",
PB21PF01,005,60,2042  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,005-60-2042   High Energy Cost Grants,Department of Agriculture,Rural Utilities Service,,"High energy costs grants can be made to eligible entities or the Denali Commission to construct, extend, upgrade, and otherwise improve energy generation, transmission, or distribution facilities serving communities in which the average residential expenditure for home energy is at least 275 percent of the national average residential expenditure for home energy (as determined by the Energy Information Agency using the most recent data available). Grants are also available to establish and support a revolving fund to provide a more cost-effective means of purchasing fuel where the fuel cannot be shipped by means of surface transportation. The Budget proposes no funding in 2021 for these grants."
PB21PF01,006,06,2050  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,006-06-2050   Economic Development Assistance Programs,Department of Commerce,Economic Development Administration,"Economic development assistance programsFor grants for economic development assistance as provided by the Public Works and Economic Development Act of 1965, for trade adjustment assistance, and for grants authorized by sections 27 and 28 of the Stevenson-Wydler Technology Innovation Act of 1980 (15 U.S.C. 3722 and 3723), $292,500,000, to remain available until expended, of which $33,000,000 shall be for grants under such section 27 and $2,000,000 shall be for grants under such section 28 In addition to amounts made available to the Economic Development Administration under the heading ""Salaries and Expenses"", unobligated balances previously appropriated under this heading shall remain available until expended for purposes of the closure of the Economic Development Administration, including but not limited to, ongoing administration, oversight and monitoring of grants and loans previously awarded by the Economic Development Administration, whether expended by the Economic Development Administration or a successor operating unit within the Department of Commerce: Provided, That such funds will be available to such successor operating unit in addition to any other amounts that may be appropriated for the necessary expenses of such operating unit from whatever source.",The Budget proposes to eliminate funding for the Economic Development Administration (EDA) as part of the Administration's plans to move the Nation toward fiscal responsibility and to redefine the proper role of the Federal Government. The Budget proposes no grant funding for the Economic Development Assistance Programs (EDAP) and proposes a cancellation of $38 million of unobligated and deobligated EDAP balances made available in prior years.
PB21PF01,007,25,2050  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2050   Military Construction, Army",Department of Defense--Military Programs,Military Construction,"For an additional amount for ""Military Construction, Army"", $111,968,000, to remain available until September 30, 2024, for projects outside of the United States: Provided, That such amount is designated by the Congress for Overseas Contingency Operations/Global War on Terrorism pursuant to section 251(b)(2)(A)(ii) of the Balanced Budget and Emergency Deficit Control Act of 1985.",
PB21PF01,007,25,2050  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2050   Military Construction, Army",Department of Defense--Military Programs,Military Construction,"Military construction, armyFor acquisition, construction, installation, and equipment of temporary or permanent public works, military installations, facilities, and real property for the Army as currently authorized by law, including personnel in the Army Corps of Engineers and other personal services necessary for the purposes of this appropriation, and for construction and operation of facilities in support of the functions of the Commander in Chief, $1,178,499,000$650,336,000, to remain available until September 30, 2024 2025: Provided, That, of this amount, not to exceed $136,099,000 $168,436,000 shall be available for study, planning, design, architect and engineer services, and host nation support, as authorized by law, unless the Secretary of the Army determines that additional obligations are necessary for such purposes and notifies the Committees on Appropriations of both Houses of Congress of the determination and the reasons therefor.",
PB21PF01,006,48,2055  ,370 - Commerce and Housing Credit                                     ,376 - Other advancement of commerce                                   ,006-48-2055   Fisheries Disaster Assistance,Department of Commerce,National Oceanic and Atmospheric Administration,"Fisheries Disaster Assistance For salaries and expenses associated with the administration of fishery disaster assistance, $300,000, to remain available until September 30, 2022: Provided, That funds shall be used for administering the fishery disaster programs authorized by the Magnuson-Stevens Fishery Conservation and Management Act and the Interjurisdictional Fisheries Act of 1986.","Fishery disaster assistance is administered by NOAA's National Marine Fisheries Service within the Department of Commerce. Two statutes, the Magnuson-Stevens Fishery Conservation and Management Act and the Interjurisdictional Fisheries Act, provide the authority for fishery disaster assistance. Under both statutes, a request for a fishery disaster determination is generally made by the Governor of a State, or an elected leader of a fishing community, although the Secretary of Commerce may also initiate a review at his or her own discretion. The Secretary determines whether the circumstances are consistent with relevant statutes and warrant a fishery disaster determination. If the Secretary determines that a fishery disaster has occurred, Congress may appropriate funds for disaster assistance, which are administered by the Secretary.NOAA intends to revise its procedures to provide greater clarity and improve consistency with respect to the process of requesting a fishery disaster declaration. These changes will accelerate the timeline for making disaster determinations and establish guidelines for administering awards. The issues to be considered include, but are not limited to, deadlines, incentives for recipients to carry insurance, required documentation of loss, cost sharing by states, other available financial assistance, eligible uses, and prioritization of the long term sustainability of the affected fishery. The changes under consideration will accelerate the Department's responsiveness to fishery disaster requests, help get appropriated funds distributed to affected communities in a more timely manner, and contribute to the long term environmental and economic sustainability of the fishery."
PB21PF01,007,05,2060  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-05-2060   National Guard Personnel, Army",Department of Defense--Military Programs,Military Personnel,"National guard personnel, armyFor pay, allowances, clothing, subsistence, gratuities, travel, and related expenses for personnel of the Army National Guard while on duty under sections 10211, 10302, or 12402 of title 10 or section 708 of title 32, United States Code, or while serving on duty under section 12301(d) of title 10 or section 502(f) of title 32, United States Code, in connection with performing duty specified in section 12310(a) of title 10, United States Code, or while undergoing training, or while performing drills or equivalent duty or other duty, and expenses authorized by section 16131 of title 10, United States Code; and for payments to the Department of Defense Military Retirement Fund, $8,704,320,000$8,830,111,000.",
PB21PF01,007,10,2065  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-10-2065   Operation and Maintenance, Army National Guard",Department of Defense--Military Programs,Operation and Maintenance,"For an additional amount for ""Operation and Maintenance, Army National Guard"", $45,700,000, for necessary expenses related to the consequences of Hurricanes Michael and Florence and flooding and earthquakes occurring in fiscal year 2019: Provided, That such amount is designated by the Congress as being for an emergency requirement pursuant to section 251(b)(2)(A)(i) of the Balanced Budget and Emergency Deficit Control Act of 1985.",
PB21PF01,007,10,2065  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-10-2065   Operation and Maintenance, Army National Guard",Department of Defense--Military Programs,Operation and Maintenance,"Operation and maintenance, army national guardFor expenses of training, organizing, and administering the Army National Guard, including medical and hospital treatment and related expenses in non-Federal hospitals; maintenance, operation, and repairs to structures and facilities; hire of passenger motor vehicles; personnel services in the National Guard Bureau; travel expenses (other than mileage), as authorized by law for Army personnel on active duty, for Army National Guard division, regimental, and battalion commanders while inspecting units in compliance with National Guard Bureau regulations when specifically authorized by the Chief, National Guard Bureau; supplying and equipping the Army National Guard as authorized by law; and expenses of repair, modification, maintenance, and issue of supplies and equipment (including aircraft), $7,461,947,000$7,420,014,000.",
PB21PF01,005,65,2069  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,005-65-2069   Intermediary Relending Program Fund Account,Department of Agriculture,Rural Business-Cooperative Service,"Intermediary Relending Program Fund Account(including transfer of funds)For the principal amount of direct loans, as authorized by the Intermediary Relending Program Fund Account (7 U.S.C. 1936b), $18,889,000.For the cost of direct loans, $5,219,000, as authorized by the Intermediary Relending Program Fund Account (7 U.S.C. 1936b), of which $557,000 shall be available through June 30, 2020, for Federally Recognized Native American Tribes; and of which $1,072,000 shall be available through June 30, 2020, for Mississippi Delta Region counties (as determined in accordance with Public Law 100-460): Provided, That such costs, including the cost of modifying such loans, shall be as defined in section 502 of the Congressional Budget Act of 1974.In addition, for administrative expenses to carry out the direct loan programs, $4,468,000 shall be transferred to and merged with the appropriation for ""Rural Development, Salaries and Expenses"".","This account finances loans to intermediary borrowers, who, in turn, re-lend the funds to small rural businesses, community development corporations, and other organizations for the purpose of improving economic opportunities in rural areas. Through the use of local intermediaries, this program serves small-scale enterprises and gives preference to those communities with the greatest need. The 2021 Budget eliminates this program because it has not been able to show evidence of improved outcomes; such as economic growth and decreasing out-migration.As required by the Federal Credit Reform Act of 1990, this account records, for this program, the subsidy costs associated with the direct loans obligated in 1992 and beyond, as well as administrative expenses of this program. The subsidy amounts are estimated on a present value basis; the administrative expenses are estimated on a cash basis."
PB21PF01,007,05,2070  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-05-2070   Reserve Personnel, Army",Department of Defense--Military Programs,Military Personnel,"Reserve personnel, armyFor pay, allowances, clothing, subsistence, gratuities, travel, and related expenses for personnel of the Army Reserve on active duty under sections 10211, 10302, and 7038 of title 10, United States Code, or while serving on active duty under section 12301(d) of title 10, United States Code, in connection with performing duty specified in section 12310(a) of title 10, United States Code, or while undergoing reserve training, or while performing drills or equivalent duty or other duty, and expenses authorized by section 16131 of title 10, United States Code; and for payments to the Department of Defense Military Retirement Fund, $4,922,087,000$5,106,956,000.",
PB21PF01,005,65,2073  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,005-65-2073   Energy Assistance Payments,Department of Agriculture,Rural Business-Cooperative Service,"Energy Assistance Payments(Including transfer of funds)For grants and contracts that are consistent with section 9007 of the Farm Security and Rural Investment Act of 2002, as amended (7 U.S.C. 8107), $100,000,000, to remain available until expended, to support a higher biofuel blends infrastructure incentive program, notwithstanding limitations on eligibility and funding set forth in such section and notwithstanding limitations set forth in section 9001(16)(C) of said Act, as amended (7 U.S.C. 8101(16)(C)): Provided, That of the amounts made available under this heading, up to 3 percent shall be for administrative expenses for activities funded under this heading, which shall be transferred to and merged with the appropriation for ""Rural Development, Salaries and Expenses"". ","The purpose of the Bioenergy Program for Advanced Biofuels is to provide payments to eligible agricultural producers to support and ensure an expanding production of advanced biofuels. This program is authorized pursuant to section 9005 of the Farm Security and Rural Investment Act of 2002, as amended by the Farm, Conservation, and Energy Act of 2008, as amended by the Agricultural Act of 2014, as amended by the Agriculture Improvement Act of 2018. The account also includes funding for Repowering Assistance payments. The purpose of this program is to encourage biorefineries to replace fossil fuel used to produce heat or power to operate the biorefineries. This program was authorized pursuant to section 9004 of the Farm Security and Rural Investment Act of 2002, as amended by the Agricultural Act of 2014. The Higher Blends Infrastructure Incentive program is a policy priority that will support the development of a distribution network of biodiesel and ethanol pumps at fueling stations across rural America.  This program will provide grants and contracts for updating this infrastructure.  The 2021 Budget requests $100 million in discretionary funding for this program."
PB21PF01,007,10,2080  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-10-2080   Operation and Maintenance, Army Reserve",Department of Defense--Military Programs,Operation and Maintenance,"Operation and maintenance, army reserveFor expenses, not otherwise provided for, necessary for the operation and maintenance, including training, organization, and administration, of the Army Reserve; repair of facilities and equipment; hire of passenger motor vehicles; travel and transportation; care of the dead; recruiting; procurement of services, supplies, and equipment; and communications, $2,984,494,000$2,934,717,000.",
PB21PF01,005,63,2081  ,370 - Commerce and Housing Credit                                     ,371 - Mortgage credit                                                 ,005-63-2081   Rural Housing Insurance Fund Program Account,Department of Agriculture,Rural Housing Service,"Rural housing serviceRural housing insurance fund program account(including transfers of funds)For gross obligations for the principal amount of direct and guaranteed loans as authorized by title V of the Housing Act of 1949, to be available from funds in the rural housing insurance fund, as follows: $1,000,000,000 shall be for direct loans and $24,000,000,000 shall be for unsubsidized guaranteed loans; $28,000,000 for section 504 housing repair loans; $40,000,000 for section 515 rental housing; $230,000,000 for section 538 guaranteed multi-family housing loans; and $10,000,000 for credit sales of single family housing acquired property; $5,000,000 for section 523 self-help housing land development loans; and $5,000,000 for section 524 site development loans.For the cost of direct and guaranteed loans, including the cost of modifying loans, as defined in section 502 of the Congressional Budget Act of 1974, as follows: section 502 loans, $90,000,000 shall be for direct loans; section 504 housing repair loans, $4,679,000; section 523 self-help housing land development loans, $577,000; section 524 site development loans, $546,000; and repair, rehabilitation, and new construction of section 515 rental housing, $12,144,000: Provided, That to support the loan program level for section 538 guaranteed loans made available under this heading, the Secretary may charge or adjust any fees to cover the projected cost of such loan guarantees pursuant to the provisions of the Credit Reform Act of 1990 (2 U.S.C. 661 et seq.), and the interest on such loans may not be subsidized: Provided further, That applicants in communities that have a current rural area waiver under section 541 of the Housing Act of 1949 (42 U.S.C. 1490q) shall be treated as living in a rural area for purposes of section 502 guaranteed loans provided under this heading: Provided further, That of the amounts available under this paragraph for section 502 direct loans, no less than $5,000,000 shall be available for direct loans for individuals whose homes will be built pursuant to a program funded with a mutual and self-help housing grant authorized by section 523 of the Housing Act of 1949 until June 1, 2020: Provided further, That the Secretary shall implement provisions to provide incentives to nonprofit organizations and public housing authorities to facilitate the acquisition of Rural Housing Service (RHS) multifamily housing properties by such nonprofit organizations and public housing authorities that commit to keep such properties in the RHS multifamily housing program for a period of time as determined by the Secretary, with such incentives to include, but not be limited to, the following: allow such nonprofit entities and public housing authorities to earn a Return on Investment on their own resources to include proceeds from low income housing tax credit syndication, own contributions, grants, and developer loans at favorable rates and terms, invested in a deal; and allow reimbursement of organizational costs associated with owner's oversight of asset referred to as ""Asset Management Fee"" of up to $7,500 per property.In addition, for the cost of direct loans, grants, and contracts, as authorized by sections 514 and 516 of the Housing Act of 1949 (42 U.S.C. 1484, 1486), $18,739,000, to remain available until expended, for direct farm labor housing loans and domestic farm labor housing grants and contracts: Provided, That any balances available for the Farm Labor Program Account shall be transferred to and merged with this account.In addition, for the cost of direct loans and grants, including the cost of modifying loans, as defined in section 502 of the Congressional Budget Act of 1974, $40,000,000, to remain available until expended, shall be for a demonstration program for the preservation and revitalization of the sections 514, 515, and 516 multi-family rental housing properties to restructure existing USDA multi-family housing loans, as the Secretary deems appropriate, expressly for the purposes of ensuring the project has sufficient resources to preserve the project for the purpose of providing safe and affordable housing for low-income residents and farm laborers, including reducing or eliminating interest; deferring loan payments; subordinating, reducing or re-amortizing loan debt; and other financial assistance including advances, payments and incentives (including the ability of owners to obtain reasonable returns on investment) required by the Secretary: Provided, That, as part of the preservation and revitalization agreement, the Secretary shall obtain a restrictive use agreement consistent with the terms of the restructuring: Provided further, That all balances, including obligated balances, available for all demonstration programs for the preservation and revitalization of sections 514, 515, and 516 multi-family rental housing properties in the ""Multi-Family Housing Revitalization Program Account"" shall be transferred to and merged with this account, and shall be available for the preservation and revitalization of sections 514, 515, and 516 multi-family rental housing properties, including the restructuring of existing USDA multi-family housing loans: Provided further, That following the transfer of balances described in the preceding proviso, any adjustments to obligations for demonstration programs for the preservation and revitalization of section 514, 515, and 516 multi-family rental housing properties incurred in the ""Multi-Family Housing Revitalization Program Account"" shall be made in this account. In addition, for administrative expenses necessary to carry out the direct and guaranteed loan programs, $412,254,000 $240,000,000 shall be transferred to and merged with the appropriation for ""Rural Development, Salaries and Expenses"".","Rural Housing Insurance Fund.--This fund was established in 1965 (Public Law 89-117) pursuant to section 517 of title V of the Housing Act of 1949, as amended. Loan programs are limited to rural areas that include towns, villages, and other places which are not part of an urban area. These areas have a population not in excess of 2,500 inhabitants, or in excess of 2,500, but not in excess of 10,000 if rural in character, or a population in excess of 10,000 but not more than 20,000. Areas are within a standard metropolitan statistical area and have a serious lack of mortgage credit for low- and moderate-income borrowers.For 2021, the Section 502 single family housing guarantees are requested at a $24 billion loan level. The subsidy rate for 2021 continues to be negative with the combination annual and up-front fee structure.The Budget requests a loan level of $10 million for credit sales of acquired property for single family housing loans. No funding is requested for Section 502 single family housing direct loans, Section 515 multi-family housing direct loans, Section 504 very low-income housing repair loans, Section 524 site development loans, Section 523 self-help housing land development loans, nor credit sales of acquired property for multi-family housing. However, the budget includes $40 million for the multi-family housing preservation and revitalization pilot program that will be administered in the this account. This program was moved to this account from the Multi-family Housing Revitalization Program account.The 2021 Budget also requests a $230 million loan level for the multi-family housing guaranteed loan program and continues to include appropriations language that will allow the program to operate without interest subsidy and with a fee. No funding is requested in the 2021 Budget for the farm labor housing loans and grants. For administrative costs, the 2021 Budget requests $240 million.As required by the Federal Credit Reform Act of 1990, this account records, for this program, the subsidy costs associated with the direct loans obligated and loan guarantees committed in 1992 and beyond (including credit sales of acquired property), as well as administrative expenses of this program. The subsidy amounts are estimated on a present value basis; the administrative expenses are estimated on a cash basis. Consistent with facilitating funding flexibilities and to be able to modify post credit reform section 515 multifamily housing loans in the future, all the balances associated with the multifamily housing demonstration programs in this account will be transferred and merged with the Rural Housing Insurance Fund Program Account."
PB21PF01,007,25,2085  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2085   Military Construction, Army National Guard",Department of Defense--Military Programs,Military Construction,"For an additional amount for ""Military Construction, Army National Guard"", $66,000,000, to remain available until September 30, 2024, for necessary expenses related to the consequences of Hurricanes Michael and Florence and flooding, tornadoes, and earthquakes occurring in fiscal year 2019: Provided, That none of the funds made available in this Act to the Army National Guard for such recovery efforts shall be available for obligation until the Committees on Appropriations of the House of Representatives and the Senate receive form 1391 for each specific request: Provided further, That, not later than 60 days after enactment of this Act, the Director of the Army National Guard, or his designee, shall submit to the Committees on Appropriations of the House of Representatives and the Senate a detailed expenditure plan for funds provided under this heading in this title: Provided further, That such funds may be obligated or expended for planning and design and military construction projects not otherwise authorized by law: Provided further, That such amount is designated by the Congress as being for an emergency requirement pursuant to section 251(b)(2)(A)(i) of the Balanced Budget and Emergency Deficit Control Act of 1985.",
PB21PF01,007,25,2085  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2085   Military Construction, Army National Guard",Department of Defense--Military Programs,Military Construction,"Military construction, army national guardFor construction, acquisition, expansion, rehabilitation, and conversion of facilities for the training and administration of the Army National Guard, and contributions therefor, as authorized by chapter 1803 of title 10, United States Code, and Military Construction Authorization Acts, $210,819,000$321,437,000, to remain available until September 30, 2024 2025: Provided, That, of the amount, not to exceed $20,469,000 $13,245,000 shall be available for study, planning, design, and architect and engineer services, as authorized by law, unless the Director of the Army National Guard determines that additional obligations are necessary for such purposes and notifies the Committees on Appropriations of both Houses of Congress of the determination and the reasons therefor.",
PB21PF01,007,25,2086  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2086   Military Construction, Army Reserve",Department of Defense--Military Programs,Military Construction,"For an additional amount for ""Military Construction, Army Reserve"", $3,300,000, to remain available until September 30, 2024, for necessary expenses related to the consequences of Hurricanes Michael and Florence and flooding and earthquakes occurring in fiscal year 2019: Provided, That none of the funds made available in this Act to the Army Reserve for such recovery efforts shall be available for obligation until the Committees on Appropriations of the House of Representatives and the Senate receive form 1391 for each specific request: Provided further, That, not later than 60 days after enactment of this Act, the Secretary of the Army, or his designee, shall submit to the Committees on Appropriations of the House of Representatives and the Senate a detailed expenditure plan for funds provided under this heading in this title: Provided further, That such funds may be obligated or expended for planning and design and military construction projects not otherwise authorized by law: Provided further, That such amount is designated by the Congress as being for an emergency requirement pursuant to section 251(b)(2)(A)(i) of the Balanced Budget and Emergency Deficit Control Act of 1985.",
PB21PF01,007,25,2086  ,050 - National Defense                                                ,051 - Department of Defense-Military                                  ,"007-25-2086   Military Construction, Army Reserve",Department of Defense--Military Programs,Military Construction,"Military construction, army reserveFor construction, acquisition, expansion, rehabilitation, and conversion of facilities for the training and administration of the Army Reserve as authorized by chapter 1803 of title 10, United States Code, and Military Construction Authorization Acts, $60,928,000$88,337,000, to remain available until September 30, 2024 2025: Provided, That, of the amount, not to exceed $6,000,000 $2,000,000 shall be available for study, planning, design, and architect and engineer services, as authorized by law, unless the Chief of the Army Reserve determines that additional obligations are necessary for such purposes and notifies the Committees on Appropriations of both Houses of Congress of the determination and the reasons therefor.",
PB21PF01,010,76,2100  ,990 - Multiple functions                                              ,999 - Multiple functions                                              ,010-76-2100   Operation of Indian Programs,Department of the Interior,Bureau of Indian Affairs,"Operation of indian programs(including transfers of funds)For expenses necessary for the operation of Indian programs, as authorized by law, including the Snyder Act of November 2, 1921 (25 U.S.C. 13), and the Indian Self-Determination and Education Assistance Act of 1975 (25 U.S.C. 5301 et seq.), $1,577,110,000$1,446,694,000, to remain available until September 30, 2021 2022, except as otherwise provided herein; of which not to exceed $8,500 may be for official reception and representation expenses; of which not to exceed $74,734,000$16,862,000 shall be for welfare assistance payments: Provided, That in cases of designated Federal disasters, the Secretary may exceed such cap for welfare payments from the amounts provided herein, to provide for disaster relief to Indian communities affected by the disaster: Provided further, That federally recognized Indian tribes and tribal organizations of federally recognized Indian tribes may use their tribal priority allocations for unmet welfare assistance costs: Provided further, That not to exceed $57,424,000$43,414,000 shall remain available until expended for housing improvement, road maintenance, attorney fees, litigation support, land records improvement, and the Navajo-Hopi Settlement Program: Provided further, That any forestry funds allocated to a federally recognized tribe which remain unobligated as of September 30, 20212022, may be transferred during fiscal year 20222023 to an Indian forest land assistance account established for the benefit of the holder of the funds within the holder's trust fund account: Provided further, That any such unobligated balances not so transferred shall expire on September 30, 20222023: Provided further, That in order to enhance the safety of Bureau field employees, the Bureau may use funds to purchase uniforms or other identifying articles of clothing for personnel: Provided further, That the Bureau of Indian Affairs may accept transfers of funds from United States Customs and Border Protection to supplement any other funding available for reconstruction or repair of roads owned by the Bureau of Indian Affairs as identified on the National Tribal Transportation Facility Inventory, 23 U.S.C. 202(b)(1).","The Operation of Indian Programs appropriation consists of a wide range of services and benefits provided to federally recognized Indian Tribes, Alaska Native groups, and individual American Indians and Alaska Natives, to fulfill Federal trust and treaty responsibilities and support tribal self-determination.This account covers expenses associated with the following activities:Tribal Government.--This activity promotes the sovereignty of federally recognized Indian Tribes by supporting and assisting them in the development and maintenance of strong and stable governments capable of administering quality programs and developing economies. This activity also provides for the maintenance of Bureau of Indian Affairs (BIA) roads and bridges.Human Services.--This activity provides funding for social services, welfare assistance, and Indian Child Welfare Act programs. The objective of this activity is to improve the quality of life for individual Indians who live on or near Indian reservations and to help protect children, the elderly, and disabled from abuse and neglect.Trust: Natural Resources Management.--This activity provides for the management, development, and protection of Indian trust land and natural resource assets and related treaty rights. Natural resource programs in Indian Country include agriculture, forestry, water, fish, wildlife, and parks. The 2021 Budget proposes to transfer energy and mineral development activities from the Community and Economic Development activity to Natural Resources Management.  These activities provide assistance for renewable and conventional energy and hard mineral development for the economic benefit of Tribes and individual Indian allottees.Trust: Real Estate.--This activity promotes cooperative efforts with landowners for the optimal utilization, development, and enhancement of trust and restricted Federal Indian-owned lands. The activity includes general real estate services, probate, land title and records, environmental compliance, and other trust services and rights protection.Public Safety and Justice.--This activity funds law enforcement activities in Indian Country in over 25 States. Programs under this activity include investigative, police, and detention services; tribal courts; fire protection; and facilities maintenance.Community and Economic Development.--This activity promotes the economic vitality of American Indians and Alaska Natives through job placement and training, economic development, and community development programs. The Budget proposes to transfer energy and minerals activities to Natural Resources Management in 2021.Executive Direction and Administrative Services.--This activity supports the management of finance, budget, acquisition, and property functions, as well as information technology resources, personnel services, facilities management, payment of General Services Administration rentals and direct rentals, and intra-governmental payments. Significant portions of Indian Affairs activities are executed under contracts or compacts with federally recognized Indian Tribes to run tribal and Federal programs. Funding also supports BIA or Bureau of Indian Education oversight and technical assistance for these activities in the central and regional offices."
PB21PF01,432,00,2100  ,550 - Health                                                          ,554 - Consumer and occupational health and safety                     ,432-00-2100   Salaries and Expenses,Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,"salaries and expensesFor expenses necessary for the Occupational Safety and Health Review Commission, $13,225,000$13,721,000.","The Occupational Safety and Health Review Commission, established by the Occupational Safety and Health Act of 1970, adjudicates contested enforcement actions of the Secretary of Labor. The Commission holds fact-finding hearings and issues orders affirming, modifying, or vacating the Secretary's enforcement actions."
PB21PF01,010,76,2103  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,010-76-2103   Indian Land Consolidation,Department of the Interior,Bureau of Indian Affairs,,"This appropriation funds a program to consolidate fractional interests in Indian lands and assist land owners with estate planning. Funds are used to purchase small interests in parcels of lands from willing individual Indian landowners and convey those interests to the Tribe on whose reservation the land is located. Consolidation of these interests is expected to reduce the Government's costs for managing Indian lands and promote economic opportunity on these lands. This program is authorized under the Indian Land Consolidation Act Amendments of 2000 (P.L. 106-462), the American Indian Probate Reform Act of 2004 (P.L. 108-374), and other authorities. No funding is requested in 2021 in this account. Funding to implement the Individual Indian Money Account Litigation Settlement (P.L. 111-291, Title I) to address fractionation of Indian lands is in a separate account."
PB21PF01,010,77,2105  ,450 - Community and Regional Development                              ,452 - Area and regional development                                   ,010-77-2105   Education Construction,Department of the Interior,Bureau of Indian Education,"Education ConstructionFor construction, repair, improvement, and maintenance of buildings, utilities, and other facilities necessary for the operation of Indian education programs, including architectural and engineering services by contract; acquisition of lands, and interests in lands; $248,257,000 $68,885,000 to remain available until expended: Provided, That in order to ensure timely completion of construction projects, the Secretary may assume control of a project and all funds related to the project, if, not later than 18 months after the date of the enactment of this Act, any Public Law 100-297 (25 U.S.C. 2501, et seq.) grantee receiving funds appropriated in this Act or in any prior Act, has not completed the planning and design phase of the project and commenced construction.","This activity provides for the planning, design, construction, and rehabilitation of Bureau of Indian Education-funded school facilities."
