program_title,popular_name,federal_agency,objectives
Juvenile Accountability Block Grants,(JABG),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","To provide States,  units of local government, and Indian Tribes as defined by Section 102 of the Federally Recognized Indian Tribe List Act of 1994, with funds to develop programs to strengthen and promote greater accountability in the juvenile justice system. To survey the field and identify projects that would benefit from research, demonstration, and evaluation in the 18 purpose areas identified in the JABG Program. To provide training and technical assistance to States, units of local government, and Indian Tribes so they may develop programs outlined in the  18 program areas to promote greater accountability in the juvenile justice system."
Legal Assistance for Victims,LAV Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","These grants are for increasing the availability of comprehensive civil and criminal legal services to victims of domestic violence, dating violence, sexual assault, and stalking in matters relating to or arising from the abuse or violence. The goal is to develop innovative, collaborative programs within the legal system that promote victim safety and increase victim economic autonomy."
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Campus Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To develop and strengthen effective security and investigation strategies to combat sexual assault, domestic violence, dating violence, and stalking on campuses, and to develop and strengthen victim services in cases involving such crimes against women on campuses, which may include partnerships with local criminal justice authorities and community-based victim services agencies, and to develop and strengthen prevention education and awareness programs."
OVW Technical Assistance Initiative,TA Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To provide communities with critical resources that help them forge partnerships across agencies and disciplines to respond effectively to violent crimes against women.  OVW's Technical Assistance Program was created to provide grantees with the expertise and support they need to develop and implement successful local projects, increase victim safety, and bolster offender accountability. Grantees participate in educational initiatives, conferences, peer-to- peer consultations, and targeted assistance that allow them to learn from experts and one another about how to overcome obstacles and incorporate promising practices in their efforts to address violence against women.  In addition, the Technical Assistance Program focuses on building the capacity of national criminal justice and victim advocacy organizations to effectively address violent crimes against women and examine issues of special interest to OVW and its constituents."
"Supervised Visitation, Safe Havens for Children",(Supervised Visitation),"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To provide an opportunity for communities to support supervised visitation and safe exchange of children, in situations involving domestic violence, dating violence, child abuse, sexual assault, or stalking."
Enhanced Training and Services to End Violence and Abuse of Women Later in Life,Abuse in Later Life ,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To provide training, services, and collaboration to address the needs of victims of elder abuse, neglect, and exploitation, including domestic violence, dating violence, sexual assault, and stalking, who are 50 years of age or older."
"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities ",(Disability Grant Program),"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To provide training, consultation, and information on domestic violence, dating violence, stalking, and sexual assault against individuals with disabilities (as defined in section 3 of the Americans with Disabilities Act of 1990 (42 U.S.C. 12102)); and to enhance direct services to such individuals."
Juvenile Justice and Delinquency Prevention,"Title II, Part B Formula Grants","OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The Title II Formula Grants Program provides funding to support state and local efforts to plan, establish, operate, coordinate, and evaluate policies and projects, directly or through grants and contracts with public and private agencies, for the development of more effective education, training, research, prevention, diversion, treatment, and rehabilitation, compliance with the core requirements and overall juvenile justice system improvement efforts. 
Objectives: The objectives are the following: (1) grant funding to states to assist them in planning, establishing, operating, coordinating, and evaluating projects for the development of more effective juvenile delinquency programming (i.e., education, training, research, prevention, diversion, treatment, and rehabilitation); (2) facilitate state compliance with the core requirements under the JJDP Act (42 USC 5633(a)(11), (12), (13),and (22); (3) provide and support training and technical assistance to benefit the formula grant program; and (4) support research, evaluation, and statistics activities designed to benefit the formula grant program."
"Part E - Developing, Testing and Demonstrating Promising New Programs","(Program Grants, Discretionary Grants and Contracts)","OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","To develop and implement programs that design, test, and demonstrate effective approaches, techniques and methods for preventing and controlling juvenile delinquency such as community based- alternatives to institutional confinement; developing and implementing effective means of diverting juveniles from the traditional juvenile justice system; programs stressing advocacy activities aimed at improving services to youth impacted by the juvenile justice system; model programs to strengthen and maintain the family unit including self-help programs; prevention and treatment programs relating to juveniles who commit serious crimes; programs to prevent hate crimes; programs to provide aftercare and reintegration services; programs to prevent youth gun and gang violence."
Missing Children's Assistance,Missing and Exploited Children (MEC) Program,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","To coordinate Federal missing and exploited children activities and to support research, training, technical assistance, and demonstration programs to enhance the overall response to missing and exploited children and as well as their families. Establish and maintain a national resource center and clearinghouse dedicated to missing and exploited children issues that: (1) provides a toll-free hotline where citizens can report investigative leads and parents and other interested individuals can receive information concerning missing children; (2) provides technical assistance to parents, law enforcement, and other professionals working on missing and exploited children cases; (3) promotes information sharing and provides technical assistance by networking with regional nonprofit organizations, State missing children clearinghouses, and law enforcement agencies; (4) develops publications that contain practical, timely information; and (5) provides information regarding programs offering free or low-cost transportation  services that assist in reuniting children with their families.  On a periodic basis, as funding is designated by Congress for this purpose, conduct national incidence studies to determine the type and extent of missing children in America. Support law enforcement demonstration programs (e.g., the Internet Crimes Against Children Task Force Program) to enhance the investigative response to missing and exploited children cases. Support research to broaden understanding of a wide range of missing and exploited children issues (e.g., abduction homicide investigation solvability factors), to inform training and technical assistance efforts and to identify promising practices and programs for replication. Develop training programs for law enforcement, child protective services, medical personnel, and prosecutors to enhance coordination and effectiveness of missing and exploited children investigations and to enhance the overall system response. Identify service gaps and develop programs to meet specialized needs of parents or guardians of children who are reported missing."
Youth Gang Prevention,Gangs and youth violence prevention,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The goal of this program is to provide funding to states, local units of government, and federal recognized tribes to implement programs and strategies to prevent and intervene youth gang related violence.

To prevent, intervene, and reduce the participation of juveniles in the activities of gangs that commit crimes.  Such programs and activities may include:  1) individual, peer, family, and group counseling, including provision of life skills training and preparation for living independently, which shall include cooperation with social services, welfare, and health care programs; 2) education and social services designed to address the social and developmental needs of juveniles; 3) crisis intervention and counseling to juveniles, who are particularly at risk of gang involvement, and their families; 4) the organization of the neighborhood and community groups to work closely with parents, schools, law enforcement, and other public and private agencies in the community; 5) supporting the coordination of existing comprehensive community-based anti-gang initiatives; and 6) training and assistance to adults who have significant relationships with juveniles who are or may become members of gangs, to assist such adults in providing constructive alternatives to participating in the activities of gangs.  To develop within the juvenile adjudicatory and correctional systems new and innovative means to address the problems of juveniles convicted of serious drug-related and gang-related offenses.  To provide treatment to juveniles who are members of such gangs, including members who are accused of committing a serious crime and members who have been adjudicated as being delinquent.  To promote the involvement of juveniles in lawful activities in geographical areas in which gangs commit crimes.  To promote and support, with the cooperation of community-based organizations experienced in providing services to juveniles engaged in gang-related activities and cooperation of local law enforcement agencies, the development of policies and activities in public elementary and secondary schools which will assist such schools in maintaining a safe environment conducive to learning.  To assist juveniles who are or may become members of gangs to obtain appropriate educational instruction, in or outside a regular school program, including the provision of counseling and other services to promote and support the continued participation of such juveniles in such instructional programs.  To expand the availability of prevention and treatment services relating to the illegal use of controlled substances and controlled substances analogues (as defined in paragraphs (6) and (32) of section 102 of the Controlled Substances Act (21 U.S.C. 802) by juveniles, provided through State and local health and social services agencies.  To provide services to prevent juveniles from coming into contact with the juvenile justice system again as a result of gang- related activity.  To provide services at a special location in a school or housing project.  To facilitate coordination and cooperation among: 1) local education, juvenile justice, employment, law enforcement, and social service agencies; and 2) community-based programs with a proven record of effectively providing intervention services to juvenile gang members for the purpose of reducing the participation of juveniles in illegal gang activities."
Victims of Child Abuse,"(Judicial Child Abuse Training, Investigation and Prosecution of
Child Abuse Through the Criminal Justice System, Court Appointed Special
Advocates (CASA), and Children's Advocacy Centers)","Office of Juvenile Justice and Delinquency Prevention, JUSTICE, DEPARTMENT OF","To develop model technical assistance and training programs to improve the courts' handling of child abuse and neglect cases to facilitate the adoption of laws to protect children against the potential second assault of the courtroom proceeding; to address the present situation in which many States have adopted innovative procedures that have far outpaced Federal law, leaving those children who do enter the Federal system inadequately protected; to address the inconsistency and disparity among State laws on child abuse; to train criminal justice system personnel on up-to-date, innovative techniques for investigating and prosecuting child abuse cases; and, to promote a multidisciplinary approach to coordinating the investigations and prosecution of child abuse cases and, thereby, limiting the number of pre-trial interviews a child must go through as well as better assure the accuracy of each interview, and to increase the number of communities making use of a Children's Advocacy Center approach to the investigation, prosecution and treatment of child abuse cases.  The National Court Appointed Special Advocate Association provides technical assistance, information and support to local CASA programs, as well as assists communities in developing new programs, and provides support to existing and developing State organizations on issues such as the development of goals and objectives, State legislation, and State standards to strengthen local programs.  Assist communities in developing child-focused programs designed to improve the resources available to children and families; provide support to non-offending family members; enhance coordination among community agencies, professionals, and provide medical support to health care and mental health care professionals involved in the intervention, prevention, prosecution, and investigation systems that respond to child abuse cases.  The American Prosecutors Research Institute's National Center for the Prosecution of Child Abuse (NCPCA) pursues improvement of the quality of child abuse prosecution by providing training and technical assistance in the subject area."
Title V Delinquency Prevention Program,Delinquency Prevention Program ,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Title V focuses on reducing risks and enhancing protective factors to prevent youth at risk of becoming delinquent from entering the juvenile justice system and to intervene with first-time and nonserious offenders to keep them out of the juvenile justice system. The program’s goal is to increase the availability and types of prevention programs to improve juvenile justice systems (Section 504(a) of the JJDP Act). The objective of the program is to support both state and local prevention efforts. Each year, state grantees will provide information that OJJDP will include in its annual Title V report to Congress (Section 503(4) of the JJDP Act)."
State Justice Statistics Program for Statistical Analysis Centers,(SACs),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","GOAL(S): Provide financial and technical assistance to state governments for the establishment and operation of Statistical Analysis Centers (SACs) to collect, analyze, and disseminate justice statistics.

OBJECTIVE(S): The SJS program enhances the SACs’ capabilities to collect, analyze, and publish statistical data that support the states’ strategic criminal justice planning needs and BJS and national priorities. SACs are strongly encouraged to collaborate with their State Administering Agency (SAA) on developing SJS projects for the FY."
National Criminal History Improvement Program (NCHIP),(NCHIP),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","GOAL(S):  Enhance the quality and completeness of the nation's criminal history record systems.

OBJECTIVE(S):  
•	Provide financial and technical assistance to states and tribes for the establishment or improvement of computerized criminal history record systems and in their efforts to collect data on stalking and domestic violence;
•	improve data accessibility and support data transmissions to national systems that will permit the immediate identification of persons who are prohibited from purchasing firearms, are subject to domestic violence protective orders, or are ineligible to hold positions of responsibility involving children, the elderly, or the disabled; 
•	develop and improve the processes for identifying, classifying, collecting, and entering data regarding stalking and domestic violence into local, state, and national crime information databases; 
•	ensure that criminal justice systems are designed, implemented, or upgraded to be compliant where applicable, with the FBI operated National Instant Criminal Background Check System and Interstate Automated Fingerprint Identification System, meet other applicable statewide or regional criminal justice information sharing standards and plans; and, 
•	build upon ongoing efforts so as to support the wide range of technology-based criminal justice information, identification, and communications needs."
State Domestic Violence and Sexual Assault Coalitions,State Coalitions Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To coordinate State victim services activities and collaborate and coordinate with Federal, State, and local entities engaged in violence against women activities."
Tribal Domestic Violence and Sexual Assault Coalitions Grant Program,Tribal Coalitions,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To increase awareness of domestic violence and sexual assault against American Indian and Alaska Native women; enhancing the response to violence against American Indian and Alaska Native women at the tribal, Federal, and State levels; identifying and providing technical assistance to coalition membership and tribal communities to enhance access to essential services to American Indian women victimized by domestic and sexual violence; and assisting tribes in developing and promoting state, local, and tribal legislation and policies that enhance best practices for responding to violent crimes against Indian women."
"National Institute of Justice Research, Evaluation, and Development Project Grants",,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","GOAL: Foster the development of new knowledge and tools that can be applied to reduce crime and advance justice, particularly at the state and local level.

OBJECTIVE: 
•	Develop, demonstrate and evaluate programs and practices relevant to criminal justice, juvenile justice and crime victims’ services outcomes.
•	Identify and analyze the causes and correlates of crime
•	Improve the functioning of the criminal and juvenile justice systems
•	Develop new methods for the prevention and reduction of crime
•	Develop new methods for to detect, investigate and prosecute crime
•	Enhance the justice research infrastructure"
Criminal Justice Research and Development Graduate Research Fellowships,Graduate Research Fellowship Program,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goals: 
The goal of the program is to increase graduate research fellowship in social and behavioral sciences and in science, technology, engineering and mathematics that are involved in research relevant to problems that affect criminal justice policy and practice in the United States particularly addressing issues deemed critical by the U.S. Department of Justice. Through the GRF program, NIJ supports graduate education by investing in academic institutions that support outstanding and promising doctoral students.  

Objectives:
NIJ’s Graduate Research Fellowship (GRF) program provides awards for research on crime, violence, and other criminal justice-related topics to accredited academic universities that support graduate study leading to research-based doctoral degrees in disciplines relevant to the Institute’s mission. This program furthers the Department’s mission by sponsoring research to provide objective, independent, evidence-based knowledge and tools to meet the challenges of crime and justice, particularly at the State and local levels."
National Institute of Justice W.E.B. DuBois Fellowship Program,W.E.B. Du Bois Program of Research on Race and Crime,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","GOAL(S):  To advance the field of knowledge regarding the confluence of crime, justice, and culture in various societal contexts AND to provide early career researchers an opportunity to elevate independently generated research and ideas to the level of national discussion."
Public Safety Officers' Benefits Program,(PSOB),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","To provide death benefits to the eligible survivors of federal, state, or local public safety officers whose deaths are the direct and proximate result of a personal (traumatic) injury sustained in the line of duty.  Effective November 29, 1990, the Act also provides the same benefit to a public safety officer who has been permanently and totally disabled as the direct result of a catastrophic personal injury sustained in the line of duty. The injury must permanently prevent the officer from performing any gainful work."
Crime Victim Assistance,,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF",The Office for Victims of Crime provides an annual grant from the Crime Victims Fund to each State and eligible territory for the financial support of services to crime victims by eligible crime victim assistance programs.
Crime Victim Compensation,,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The primary purpose of these grants is to supplement state efforts to provide financial compensation to crime victims throughout the Nation for costs resulting from crime, and to encourage victim cooperation and participation in the criminal justice system.

The Office for Victims of Crime (OVC),  Department of Justice, administers the Crime Victim Compensation formula grant program. OVC annually awards a grant to each state, the District of Columbia, the U.S. Virgin Islands, and the Commonwealth of Puerto Rico to support state crime victim compensation programs. These programs help pay for some of the expenses resulting from crimes involving violence or abuse."
Federal Surplus Property Transfer Program,Federal Surplus Property Program,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goal(s):  The effective use of real property owned by the federal government and the disposal of this property when federal agencies no longer need it. 

Objective(s): To facilitate the possible no cost conveyance, by the Federal Government, to State and local governments, of surplus real and related personal property determined by the Director of the Bureau of Justice Assistance by delegation from the Assistant Attorney General for the Office of Justice Programs and the Attorney General, to be required for correctional facility use, under programs or projects for the care or rehabilitation of criminal offenders, and for law enforcement purposes."
Edward Byrne Memorial Formula Grant Program,,"Bureau of Justice Assistance, JUSTICE, DEPARTMENT OF","To reduce and prevent illegal drug activity, crime, and violence and to improve the functioning of the criminal justice system."
Edward Byrne Memorial State and Local Law Enforcement Assistance Discretionary Grants Program,Byrne Discretionary Program,"Bureau of Justice Assistance, JUSTICE, DEPARTMENT OF",To provide leadership and direction in improving the functioning of the criminal justice system.
Crime Victim Assistance/Discretionary Grants,,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The Office for Victims of Crime (OVC) administers a discretionary grant program and other assistance programs for crime victims with amounts set-aside from deposits into the Crime Victims Fund for (a) demonstration projects and training and technical assistance services to eligible crime victims assistance programs; and (b) for the financial support of services to victims of Federal crime by eligible crime victim assistance programs. The purpose of the demonstration and training and technical assistance grants is to improve the overall quality of services delivered to crime victims through the provision of training and technical assistance to providers. Of the amount available for training and technical assistance and services to victims of Federal crimes, no less than 50 percent shall be used for demonstration programs and training and technical assistance, and not more than 50 percent for services to victims of Federal crimes."
Children's Justice Act Partnerships for Indian Communities,(CJA),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The goal of the Children’s Justice Act Partnerships for Indian Communities (CJA) program is to provide funding, technical assistance, and training to help American Indian and Alaska Native communities develop, establish, and operate programs designed to improve the investigation, prosecution, and handling of cases of child abuse and neglect, and particularly child sexual abuse cases, in a manner which lessens trauma for child victims.

•	To improve investigative, prosecutorial, and judicial practices so that trauma is reduced for victims of child abuse and neglect. 
•	Adopt a trauma-informed, multidisciplinary approach to the investigation, prosecution, and management of cases of child abuse and neglect by providing training to tribal, state, and federal professionals responsible for responding to and intervening in cases of child abuse and neglect in the applicant tribal community. Project activities should focus on improving coordination of efforts through information sharing and developing and implementing written response protocols for child abuse and neglect cases that are designed to minimize trauma for child victims and their family members. 
•	Provide emergency services for children who are at imminent risk of harm and crisis intervention services to aid child victims and their family members in recovering from incidents of abuse and neglect. 
•	Develop specialized services for victims of child abuse and neglect and their family members."
Drug Court Discretionary Grant Program,Drug Court Program (DCP),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goal: 
The overall goal of the Adult Drug Court Discretionary Grant Program (ADC Discretionary Grant Program) is to equip courts and community supervision systems with the necessary tools and resources, utilizing the most current evidence-based practices and principles, to intervene with participants who abuse substances while preparing them for success in the community. 


Objectives:
•	Assisting courts that utilize evidence-based practices and principles, which are incorporated into the National Association of Drug Court Professionals (NADCP) drug court standards. 
•	Building and maximizing the capacity of jurisdictions to ensure that all potential participants are identified and assessed for risk and need. 
•	Ensuring all participants receive targeted evidence-based services. 
•	Enhancing the provision of recovery support services, including transitional clean and sober housing assistance to reduce recidivism. 
•	Reducing obstacles to successful recovery, including the provision of specified civil legal assistance. 
•	Supporting strategies that ensure drug court practitioners have the tools to effectively manage these interventions, including data collection and analysis to inform system improvement and implementation fidelity, training and technical assistance, and tracking and improving drug court performance."
Violent Offender Incarceration and Truth in Sentencing Incentive Grants,Prison Grants (VOI/TIS),"Bureau of Justice Assistance, JUSTICE, DEPARTMENT OF","To provide funds to individual States and States organized as regional compacts to build or expand 1) correctional facilities to increase the bed capacity for the confinement of Part 1 violent offenders; 2) temporary or permanent correctional facilities including facilities on military bases, prison barges and boot camps for the confinement of nonviolent offenders for the purpose of freeing prison space for violent offenders; 3) jails."
Violence Against Women Discretionary Grants for Indian Tribal Governments,,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To increase tribal capacity to respond to violent crimes against Indian women, and to develop and strengthen victim services in cases involving violent crimes against Indian women."
Violence Against Women Formula Grants,STOP Violence Against Women Formula Grants,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To assist States, Indian tribal governments, tribal courts, State and local courts, and units of local government to develop and strengthen effective law enforcement and prosecution strategies to combat violent crimes against women, and develop and strengthen victim services in cases involving crimes against women.  The Program encourages the development and implementation of effective, victim-centered law enforcement, prosecution, and court strategies to address violent crimes against women and the development and enhancement of victim services in cases involving violent crimes against women. "
"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",Rural Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","(1) to identify, assess, and appropriately respond to child, youth, and adult victims of domestic violence, sexual assault, dating violence, and stalking in rural communities, by encouraging collaboration among—
(A) domestic violence, dating violence, sexual assault, and stalking victim service providers;
(B) law enforcement agencies;
(C) prosecutors;
(D) courts;
(E) other criminal justice service providers;
(F) human and community service providers;
(G) educational institutions; and
(H) health care providers, including sexual assault forensic examiners;
(2) to establish and expand nonprofit, nongovernmental, State, tribal, territorial, and local government victim services in rural communities to child, youth, and adult victims; and
(3) to increase the safety and well-being of women and children in rural communities, by—
(A) dealing directly and immediately with domestic violence, sexual assault, dating violence, and stalking occurring in rural communities; and
(B) creating and implementing strategies to increase awareness and prevent domestic violence, sexual assault, dating violence, and stalking.
"
Grants to Encourage Arrest Policies and Enforcement of Protection Orders Program,Arrest Program,"OFFICE ON VIOLENCE AGAINST WOMEN (OVW), JUSTICE, DEPARTMENT OF","To encourage States, Indian tribal governments, State and local courts (including juvenile courts), tribal courts, and units of local government to treat domestic violence, dating violence, sexual assault, and stalking as serious violations of criminal law."
Residential Substance Abuse Treatment for State Prisoners,(RSAT),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goals:  
The goal of the RSAT Program is to assist states and units of local and tribal governments to break the cycle of incarceration for drug addiction and violence by reducing the demand for, use, and trafficking of illegal drugs. 

Objectives:  
RSAT enhances jurisdiction’s capabilities to prepare individuals for their reintegration into the communities from which they came by incorporating reentry planning activities into treatment programs; and assists individuals and their communities through the reentry process through the delivery of community-based treatment and other broad-based aftercare services."
Community Capacity Development Office,The Weed and Seed Program,"Executive Office for Weed and Seed, JUSTICE, DEPARTMENT OF","The Program's objective is national implementation of Operation Weed and Seed.  Operation Weed and Seed is a comprehensive, multi-disciplinary approach to combating violent crime, drug use, and gang activity in high crime neighborhoods.  The goal is to ""weed out"" violence and drug activity in high crime neighborhoods and then to ""seed"" the sites with a wide range of crime and drug prevention programs, human service resources, and neighborhood restoration activities to prevent crime from reoccurring.  The strategy emphasizes the importance of a coordinated approach, bringing together Federal, State and local government, the community, and the private sector to form a partnership to create a safe, drug-free environment."
Justice System Infrastructure Program for Indian Tribes,Justice System Infrastructure Program for Indian Tribes,"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goals: The Tribal Justice System Infrastructure Program (TJSIP) provides grant funding to support the physical tribal justice infrastructure capacity needs of Indian Country by 1) enhancing conditions that address staff/resident/detainee/inmate safety and security issues and 2) adding capacity for rehabilitative services, enhancing facility service/function capacity, implementing correctional alternative programs, or establishing community-based programs to reduce the recidivism rates for offenders who are subject to tribal jurisdiction.

Objectives:  To renovate, expand, or replace the following types of tribal justice system facilities to address single-jurisdiction or regional physical justice system infrastructure needs:  
-	Tribal correctional facilities,
-	police departments,
-	courts,
-	correctional alternative facilities,
-	treatment centers,
-	multipurpose justice centers (including police departments, courts, and corrections), and
-	transitional living facilities (halfway houses) associated with the incarceration and rehabilitation of juvenile and/or adult offenders."
Motor Vehicle Theft Protection Act Program,(Watch Your Car),"Bureau of Justice Assistance, JUSTICE, DEPARTMENT OF","The Motor Vehicle Theft Prevention Act of 1994 (MVTPA) authorizes the Attorney General to develop, in cooperation with the States, a national voluntary motor vehicle theft prevention program. The national ""Watch Your Car"" program is designed as a cooperative initiative between the States, local governments, and the U.S. Department of Justice, Bureau of Justice Assistance (BJA). It allows owners of motor vehicles to voluntarily display a decal or device on their vehicles to alert police that their vehicle is not normally driven between the hours of 1:00 a.m. and 5:00 a.m.  Motorists may also choose to display another decal or device to signify their vehicle is not normally driven across or in the proximity of international land borders or ports."
Corrections Training and Staff Development,,"FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, JUSTICE, DEPARTMENT OF","To devise and conduct in various geographical locations, seminars, workshops, and training programs for law enforcement officers, judges and judicial personnel, probation and parole personnel, correctional personnel, welfare workers and other personnel, including lay ex-offenders and paraprofessionals, connected with the treatment and rehabilitation of criminal and juvenile offenders.  To develop technical training teams to aid in the development of seminars, workshops, and training programs within the several States and with the State and local agencies which work with prisoners, parolees, probationers, and other offenders."
Corrections Research and Evaluation and Policy Formulation,,"FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, JUSTICE, DEPARTMENT OF","To conduct, encourage, and coordinate research relating to corrections including the causes, prevention, diagnosis, and treatment of criminal offenders.  To conduct evaluation programs which study the effectiveness of new approaches, techniques, systems, programs, and devices employed to improve the corrections system."
Corrections Technical Assistance/Clearinghouse,,"FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, JUSTICE, DEPARTMENT OF","To encourage and assist Federal, State, and local government programs and services, and programs and services of other public and private agencies, institutions, and organizations in their efforts to develop and implement improved corrections programs.  To assist and serve in a consulting capacity to Federal, State, and local courts, departments, and agencies in the development, maintenance, and coordination of programs, facilities, services, training, treatment, and rehabilitation with respect to criminal and juvenile offenders."
State Criminal Alien Assistance Program,(SCAAP),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The State Criminal Alien Assistance Program (SCAAP) is a payment program designed to provide federal assistance to states and localities that incur costs for incarcerating undocumented criminal aliens who are being held as a result of state and/or local convictions. The Bureau of Justice Assistance (BJA) administers this program in conjunction with the Department of Homeland Security's (DHS) Immigration and Customs Enforcement (ICE), and U.S. Citizenship and Immigration Services branches."
Bulletproof Vest Partnership Program,(BVP),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","The goal of the BVP program is to provide up to 50% of the cost of armored vests for state, local and tribal jurisdictions."
Tribal Justice Systems and Alcohol and Substance Abuse,(TCAP),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goals: 
To provide key funding to tribal justice systems to develop, support, and enhance adult and juvenile tribal justice systems and the prevention of violent crime and crime related to opioid, alcohol, and other substance abuse.

Objectives:

To support the critical and priority needs of tribal justice systems, to prevent crime and to ensure tribal safety through the development, implementation, and enhancement of strategies, including the following: 
• To engage in targeted strategic planning to improve tribal justice and community safety as it relates to violent crime, enhancing capacity of tribal prosecutors and tribal courts and opioid, alcohol, and other substance abuse, including review of key data, partnerships with researchers, and building the capacity for crime analysis. 
• To prevent and respond to violent crime in tribal communities, including investigations, forensics, prosecutions, information sharing, and supervision and re-entry in coordination with other key federal and state partners. 
• To enhance the tools and resources for tribal prosecutors, courts, and corrections agencies, including tribal probation and tribal jails, and to effectively respond to crime and related tribal safety. 
• To implement enhanced authorities and provisions under the Tribal Law and Order Act (TLOA) and the Violence Against Women Reauthorization Act of 2013 and to support the development of joint jurisdiction courts with state and local courts. 
• To prevent future crime by addressing the risks and needs of young adults (ages 18–25) who are involved with or at risk of involvement with the justice system. 
• To ensure safety through coordinated support for the re-entry of returning tribal members from federal or state prison sentences. 
• To develop, enhance, and continue programs to improve the safety and effectiveness of tribal law enforcement officers such as planning for and developing their own law enforcement agency, law enforcement support as part of a larger strategy, or court security issues such adding an officer at the courthouse to improve court security. 
• To develop, implement, and enhance substance abuse and crime prevention, interventions, and alternatives to incarceration to address crime related to the opioid epidemic. This can include opioid, alcohol, and other substance abuse and related crime prevention; healing to wellness courts; intervention; or treatment, including those that prevent and address the needs of drug endangered children."
Project Safe Neighborhoods,(PSN),"OFFICE OF JUSTICE PROGRAMS, JUSTICE, DEPARTMENT OF","Goals: 

Project Safe Neighborhoods (PSN) is designed to create and foster safer neighborhoods through a sustained reduction in violent crime, including, but not limited to, addressing criminal gangs and the felonious possession and use of firearms. The program's effectiveness depends upon the ongoing coordination, cooperation and partnerships of local, state, tribal, and federal law enforcement agencies—and the communities they serve—engaged in a unified approach led by the U.S. Attorney (USA) in all 94 districts. Acting decisively in a coordinated manner at all levels — federal, state, local, and tribal — will help reverse a rise in violent crime and keep American citizens safe.

Objectives:

Achieve violence reduction through the pursuit and support of investigative, prosecutorial, and prevention strategies that will achieve the maximum impact. 

Prevent and reduce crime through supporting cooperative activity among federal, state, local, and tribal law enforcement partners, and prevention, community, and research partners."
